City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
135,Vagur,61.4732,-6.8119,46.45,80,83,11.34,FO,2022-06-21 17:09:19
136,Oranjemund,-28.55,16.4333,54.99,80,12,5.77,NA,2022-06-21 17:09:19
137,Port Hardy,50.6996,-127.4199,55.58,100,100,3.44,CA,2022-06-21 17:09:19
138,Lipin Bor,60.2622,37.9763,54.9,92,98,8.25,RU,2022-06-21 17:10:19
139,Xingyi,24.1877,102.817,63.1,96,78,3.96,CN,2022-06-21 17:10:20
140,Naples,40.8333,14.25,82.62,68,0,8.05,IT,2022-06-21 17:07:09
141,Ipilan,8.8431,117.9033,79.27,83,100,1.41,PH,2022-06-21 17:10:20
142,Sisimiut,66.9395,-53.6735,34.47,87,100,8.86,GL,2022-06-21 17:10:21
143,Saskylakh,71.9167,114.0833,43.18,83,100,11.36,RU,2022-06-21 17:10:21
144,Kruisfontein,-34.0033,24.7314,56.88,80,100,3.2,ZA,2022-06-21 17:10:21
145,Pevek,69.7008,170.3133,28.36,93,60,4.52,RU,2022-06-21 17:07:07
146,Broken Hill,-31.95,141.4333,48.6,64,2,3.98,AU,2022-06-21 17:10:22
147,Bethanien,-26.502,17.1583,47.7,62,94,0.94,NA,2022-06-21 17:10:22
148,Dutlwe,-23.9833,23.9,64.65,31,20,16.2,BW,2022-06-21 17:10:22
149,Swidnik,51.219,22.6962,58.89,72,40,17.27,PL,2022-06-21 17:10:23
150,Aklavik,68.2191,-135.0107,59.2,41,11,6.76,CA,2022-06-21 17:10:23
151,Maceio,-9.6658,-35.7353,80.04,78,75,11.5,BR,2022-06-21 17:10:23
152,Bathsheba,13.2167,-59.5167,86.61,74,75,16.11,BB,2022-06-21 17:10:24
153,Namibe,-15.1961,12.1522,66.61,56,0,13.4,AO,2022-06-21 17:10:24
154,Labelle,26.7617,-81.4384,89.67,50,77,12.15,US,2022-06-21 17:10:24
155,Ormara,25.2088,64.6357,83.26,88,0,24.29,PK,2022-06-21 17:10:25
156,Vaitape,-16.5167,-151.75,80.06,73,32,16.64,PF,2022-06-21 17:10:25
157,Aksha,50.2814,113.2867,57.94,62,16,2.53,RU,2022-06-21 17:10:25
158,Thinadhoo,0.5333,72.9333,84.65,68,20,9.44,MV,2022-06-21 17:10:26
159,Bengkulu,-3.8004,102.2655,74.48,92,100,5.39,ID,2022-06-21 17:10:26
160,Seidu,9.0167,-10.6,79.27,77,96,0.89,SL,2022-06-21 17:10:26
161,Were Ilu,10.6,39.4333,63.41,35,94,6.8,ET,2022-06-21 17:10:27
162,Saldanha,-33.0117,17.9442,61.38,69,99,2.89,ZA,2022-06-21 17:10:27
163,Okhotsk,59.3833,143.3,44.37,95,100,6.13,RU,2022-06-21 17:10:27
164,Port-Cartier,50.0334,-66.8654,54.75,59,1,9.6,CA,2022-06-21 17:10:28
165,Takaungu,-3.6837,39.8566,77.92,76,42,18.84,KE,2022-06-21 17:07:18
166,Stykkisholmur,65.0757,-22.7297,49.37,90,100,12.75,IS,2022-06-21 17:10:28
167,Beira,-19.8436,34.8389,73.49,73,40,10.36,MZ,2022-06-21 17:10:29
168,Puerto Ayora,-0.7393,-90.3518,75.16,91,82,8.01,EC,2022-06-21 17:10:29
169,Dalaba,10.7,-12.25,70.38,81,89,3.29,GN,2022-06-21 17:10:29
170,Wladyslawowo,54.7909,18.4009,65.01,79,37,13.67,PL,2022-06-21 17:10:30
171,Lavrentiya,65.5833,-171.0,40.3,97,100,10.78,RU,2022-06-21 17:10:30
172,Cap Malheureux,-19.9842,57.6142,66.47,67,0,1.99,MU,2022-06-21 17:10:30
173,Bianzhuang,34.8486,118.0447,80.44,55,12,7.81,CN,2022-06-21 17:10:31
174,Komsomolskiy,40.4272,71.7189,72.07,42,94,4.0,UZ,2022-06-21 17:10:31
