City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
222,Gambela,ET,8.25,34.5833,71.71,91,100,3.76,moderate rain
223,Henties Bay,NA,-22.116,14.2845,55.71,85,0,9.78,clear sky
224,Opuwo,NA,-18.0607,13.84,51.31,13,0,3.44,clear sky
225,Mul,IN,20.0667,79.6667,78.73,88,65,3.29,broken clouds
226,Alice Springs,AU,-23.7,133.8833,38.75,87,0,5.75,clear sky
227,Alofi,NU,-19.0595,-169.9187,76.89,83,75,9.22,light intensity shower rain
228,Esna,EG,25.2934,32.554,84.22,27,0,12.91,clear sky
229,Etchoropo,MX,26.7667,-109.6667,104.41,44,2,15.35,clear sky
230,Praya,CV,14.9215,-23.5087,77.54,88,40,14.97,scattered clouds
231,Cuamba,MZ,-14.8031,36.5372,58.39,90,10,4.38,clear sky
232,San Pedro,PH,14.35,121.0167,76.23,92,100,2.3,heavy intensity rain
233,Zhuhai,CN,22.2769,113.5678,83.98,100,20,5.75,few clouds
234,Stromness,GB,58.965,-3.296,55.87,83,97,13.0,overcast clouds
235,Puerto Narino,CO,-3.7703,-70.3831,79.61,81,41,3.11,scattered clouds
236,Huarmey,PE,-10.0681,-78.1522,67.28,69,12,10.85,few clouds
237,Benguela,AO,-12.5763,13.4055,66.29,86,1,1.61,clear sky
238,Aksarayskiy,RU,46.7924,48.0119,72.41,59,98,6.29,overcast clouds
239,Fortuna,US,40.5982,-124.1573,73.09,72,0,0.0,clear sky
240,Yazykovo,RU,55.2199,56.1353,57.45,91,45,3.83,scattered clouds
241,Wanaka,NZ,-44.7,169.15,30.11,84,98,3.0,overcast clouds
242,Matamoros,MX,25.5333,-103.25,89.71,33,75,8.05,broken clouds
243,Namtsy,RU,62.7161,129.6658,66.47,56,15,8.14,few clouds
244,Suntar,RU,62.1444,117.6319,59.59,58,100,0.96,overcast clouds
245,Port Macquarie,AU,-31.4333,152.9167,40.89,69,0,4.81,clear sky
246,Hovd,MN,48.0056,91.6419,66.99,35,0,4.72,clear sky
247,Kupang,ID,-10.1667,123.5833,77.02,70,100,13.31,overcast clouds
248,Ajdabiya,LY,30.7554,20.2263,77.07,68,0,12.44,clear sky
249,Phan Thiet,VN,10.9333,108.1,77.11,84,100,2.8,overcast clouds
250,Saskylakh,RU,71.9167,114.0833,49.21,45,35,10.22,scattered clouds
251,Olenino,RU,56.2092,33.4889,51.08,94,17,5.48,few clouds
252,Salvador,SV,13.8333,-88.9167,86.04,75,100,0.89,overcast clouds
253,Suzaka,JP,36.65,138.3167,72.1,92,97,2.62,overcast clouds
254,Bacolod,PH,10.6667,122.95,77.99,82,94,3.18,overcast clouds
255,Omboue,GA,-1.5746,9.2618,70.21,84,9,7.47,clear sky
256,Oistins,BB,13.0667,-59.5333,86.09,70,40,12.66,scattered clouds
257,Miramar,US,25.9873,-80.2323,88.0,59,0,14.97,clear sky
258,Port Augusta,AU,-32.5,137.7667,51.4,86,93,9.01,overcast clouds
259,Paita,PE,-5.0892,-81.1144,68.36,72,18,18.1,few clouds
260,Piacabucu,BR,-10.4056,-36.4344,74.53,90,99,9.82,overcast clouds
261,Port Blair,IN,11.6667,92.75,81.79,79,100,8.84,overcast clouds
262,Tshane,BW,-24.0196,21.8684,50.63,44,0,6.06,clear sky
263,Marquard,ZA,-28.6645,27.4305,50.11,61,58,16.35,broken clouds
264,Gorontalo,ID,0.5412,123.0595,73.72,94,100,2.89,overcast clouds
265,Quelimane,MZ,-17.8786,36.8883,71.55,88,0,3.44,clear sky
266,San Policarpo,PH,12.1791,125.5072,80.85,81,100,6.13,heavy intensity rain
267,Selenginsk,RU,52.0064,106.8647,50.41,84,1,3.87,clear sky
268,Arona,ES,28.0996,-16.681,64.98,67,75,18.41,broken clouds
269,Bilibino,RU,68.0546,166.4372,59.4,37,96,14.05,overcast clouds
270,Lusambo,CD,-4.9667,23.45,73.18,45,34,0.96,scattered clouds
271,Rio Rancho,US,35.2334,-106.6645,70.88,75,100,8.05,overcast clouds
272,Mandalgovi,MN,45.7625,106.2708,61.0,52,63,7.07,broken clouds
273,Magistralnyy,RU,56.1725,107.4458,46.27,94,28,1.54,scattered clouds
274,Banjar,ID,-8.19,114.9675,76.1,87,98,3.44,overcast clouds
275,Egvekinot,RU,66.3167,-179.1667,38.39,90,100,2.51,overcast clouds
276,Churapcha,RU,62.0025,132.4325,63.18,62,11,5.12,few clouds
